phi the  : 1274
truly terrible  : 1
terrible ;  : 1
but whether  : 2
was suffering  : 1
suffering from  : 1
from actual  : 1
actual fire  : 1
or from  : 1
the ardour  : 1
ardour of  : 1
his passion  : 2
his colour  : 1
colour had  : 1
disappeared ;  : 2
; whether  : 1
happened on  : 1
travels or  : 1
or whether  : 1
the result  : 2
was melting  : 1
melting ;  : 1
gun at  : 1
shoulder .  : 9
the draught  : 1
draught caught  : 1
and off  : 2
a sylph  : 1
sylph to  : 1
, burst  : 1
into flames  : 1
flames --  : 1
tin-soldier melted  : 1
melted down  : 1
little lump  : 1
lump ,  : 1
when next  : 3
maid was  : 1
taking out  : 2
a heart  : 2
dancer but  : 1
her gilt  : 1
gilt rose  : 1
, burnt  : 1
burnt as  : 1
as black  : 2
phi blockhead-hans  : 2
blockhead-hans far  : 1
country lay  : 1
lay an  : 1
old manor-house  : 1
manor-house where  : 1
where lived  : 1
old squire  : 1
squire who  : 1
two sons  : 1
known only  : 2
did know  : 1
been quite  : 2
both wanted  : 1
husband the  : 1
who knew  : 5
knew best  : 3
best how  : 1
choose his  : 1
both prepared  : 1
the wooing  : 1
wooing a  : 1
the longest  : 1
longest time  : 1
time allowed  : 1
allowed them  : 1
quite long  : 1
both had  : 2
had preparatory  : 1
preparatory knowledge  : 1
everyone knows  : 2
knows how  : 6
how useful  : 1
useful that  : 1
whole latin  : 1
latin dictionary  : 1
dictionary and  : 2
also three  : 1
years '  : 2
' issue  : 1
issue of  : 1
the daily  : 3
daily paper  : 2
paper of  : 1
town off  : 1
could repeat  : 1
repeat it  : 4
all backwards  : 1
backwards or  : 1
or forwards  : 1
forwards as  : 1
you pleased  : 1
pleased .  : 8
other had  : 1
the laws  : 1
laws of  : 1
of corporation  : 1
corporation ,  : 1
knew by  : 4
heart what  : 1
what every  : 2
every member  : 1
member of  : 2
the corporation  : 1
corporation ought  : 1
could quite  : 1
well speak  : 1
speak on  : 1
on state  : 1
state matters  : 1
matters and  : 1
his opinion  : 1
opinion .  : 3
understood ,  : 1
besides this  : 1
to embroider  : 1
embroider braces  : 1
braces with  : 1
other flowers  : 1
and scrolls  : 1
scrolls ,  : 1
ready with  : 1
shall win  : 2
both cried  : 2
father gave  : 1
gave each  : 1
the dictionary  : 2
paper by  : 1
heart had  : 3
black horse  : 1
other who  : 1
at corporation  : 1
corporation law  : 1
law had  : 1
a milk-white  : 1
milk-white one  : 1
they oiled  : 1
oiled the  : 1
mouths so  : 2
speak more  : 2
more fluently  : 1
fluently .  : 1
servants stood  : 1
courtyard and  : 1
them mount  : 1
mount their  : 1
their steeds  : 1
steeds ,  : 1
here by  : 1
by chance  : 1
third brother  : 1
brother ;  : 2
the squire  : 1
squire had  : 1
but nobody  : 5
nobody counted  : 1
counted him  : 1
learned as  : 1
was generally  : 4
generally called  : 1
` blockhead-hans  : 1
blockhead-hans .  : 7
said blockhead-hans  : 7
you off  : 1
your sunday-best  : 1
sunday-best clothes  : 1
to woo  : 1
woo the  : 1
known throughout  : 1
throughout all  : 1
country side  : 1
side ?  : 1
cried blockhead-hans  : 3
blockhead-hans ;  : 4
brothers laughed  : 2
rode off  : 1
blockhead-hans ,  : 6
horse too  : 1
a desire  : 1
desire for  : 1
for marriage  : 1
marriage has  : 1
has seized  : 1
have me  : 6
she wo  : 2
that nonsense  : 1
nonsense !  : 8
you ca  : 24
n't speak  : 3
speak ;  : 1
choose your  : 1
your words  : 2
brothers !  : 3
very different  : 1
different lads  : 1
lads !  : 1
the goat  : 2
goat which  : 1
is mine  : 4
carry me  : 1
sat astride  : 1
astride on  : 1
goat ,  : 1
struck his  : 1
his heels  : 8
heels into  : 1
into its  : 8
went rattling  : 1
rattling down  : 1
the high-road  : 1
high-road like  : 1
a hurricane  : 1
hurricane .  : 1
` hoppetty  : 1
hoppetty hop  : 1
hop !  : 1
ride !  : 1
phi shouted  : 13
shouted blockhead-hans  : 1
singing so  : 1
the echoes  : 2
echoes were  : 1
were roused  : 1
roused far  : 1
were riding  : 1
riding slowly  : 1
slowly in  : 1
front .  : 2
not speaking  : 1
were thinking  : 1
thinking over  : 5
things they  : 2
for everything  : 3
everything had  : 2
phi bawled  : 1
bawled blockhead-hans  : 1
look what  : 2
road !  : 2
dead crow  : 1
crow which  : 1
had picked  : 2
picked up  : 10
` blockhead  : 2
blockhead !  : 2
crow ?  : 1
certainly !  : 1
laughing loudly  : 1
loudly and  : 2
and riding  : 1
riding on  : 2
` slap  : 2
slap !  : 2
phi bang  : 2
bang !  : 2
am again  : 1
found !  : 1
find such  : 1
things every  : 1
brothers turned  : 1
round to  : 4
world he  : 1
they ,  : 5
old wooden  : 2
wooden shoe  : 2
shoe without  : 1
top !  : 1
send that  : 2
princess ?  : 1
course i  : 9
shall !  : 2
phi returned  : 2
returned blockhead-hans  : 1
good way  : 2
` better  : 1
better and  : 1
and better  : 1
better --  : 1
-- it  : 23
really famous  : 1
famous !  : 1
found now  : 1
really too  : 1
too good  : 5
how pleased  : 1
be !  : 3
why !  : 2
is pure  : 1
pure mud  : 1
mud ,  : 5
straight from  : 3
course it  : 6
best kind  : 1
kind !  : 2
it runs  : 2
runs through  : 2
through one  : 2
's fingers  : 1
fingers !  : 1
pocket with  : 1
the mud  : 10
mud .  : 2
brothers rode  : 1
that dust  : 1
dust and  : 3
sparks flew  : 2
flew all  : 1
good hour  : 1
hour before  : 1
before blockhead-hans  : 1
here came  : 1
the suitors  : 2
suitors numbered  : 1
numbered according  : 1
their arrival  : 1
arrival ,  : 1
were ranged  : 1
ranged in  : 1
in rows  : 1
rows ,  : 1
each row  : 1
row ,  : 2
so tightly  : 1
tightly packed  : 1
packed that  : 1
move their  : 1
for otherwise  : 1
otherwise they  : 1
have torn  : 2
torn each  : 1
, merely  : 3
merely because  : 1
country people  : 1
standing round  : 1
's throne  : 1
crowded together  : 2
in thick  : 1
thick masses  : 1
masses almost  : 1
almost out  : 4
windows to  : 1
princess receive  : 1
receive the  : 1
suitors ;  : 1
as each  : 2
room all  : 2
fine phrases  : 1
phrases went  : 1
candle !  : 1
matter !  : 3
` away  : 1
away !  : 6
the row  : 2
row in  : 1
dictionary by  : 1
the rank  : 2
rank and  : 1
and file  : 1
file .  : 1
floor creaked  : 1
creaked ,  : 1
ceiling was  : 1
glass mirrors  : 1
mirrors ,  : 1
saw himself  : 1
by each  : 2
each window  : 2
window were  : 1
standing three  : 2
three reporters  : 2
reporters and  : 2
an editor  : 1
editor ;  : 1
was writing  : 3
writing down  : 2
down what  : 1
to publish  : 1
publish it  : 1
paper that  : 1
was sold  : 1
sold at  : 1
street corners  : 2
corners for  : 1
penny .  : 1
fearful ,  : 1
fire so  : 1
hot that  : 1
was grilling  : 1
grilling .  : 1
hot in  : 2
the suitor  : 1
suitor .  : 1
father is  : 5
is roasting  : 1
roasting young  : 3
young chickens  : 3
chickens to-day  : 3
to-day !  : 4
` ahem  : 3
ahem !  : 4
stood like  : 2
an idiot  : 1
idiot .  : 1
not prepared  : 1
a speech  : 2
speech ;  : 1
say something  : 3
something witty  : 1
witty .  : 1
other brother  : 2
brother entered  : 1
entered .  : 2
how hot  : 1
hot it  : 2
course !  : 2
are roasting  : 1
you --  : 14
-- um  : 2
um !  : 1
the reporters  : 3
reporters wrote  : 1
wrote down  : 3
um .  : 1
now blockhead-hans  : 1
blockhead-hans came  : 1
rode his  : 1
his goat  : 1
goat right  : 1
how roasting  : 1
roasting hot  : 1
am roasting  : 1
's good  : 4
replied blockhead-hans  : 1
then can  : 1
i roast  : 1
roast a  : 1
a crow  : 1
crow with  : 1
but have  : 1
can roast  : 1
roast them  : 1
in ?  : 4
have neither  : 1
neither pot  : 1
pot nor  : 1
nor saucepan  : 1
saucepan .  : 2
, rather  : 12
rather !  : 1
a cooking  : 1
cooking implement  : 1
implement with  : 1
with tin  : 1
tin rings  : 1
rings ,  : 1
shoe ,  : 1
crow in  : 1
meal !  : 1
where shall  : 5
the soup  : 2
soup from  : 1
've got  : 22
pocket !  : 1
well throw  : 1
throw some  : 1
some away  : 1
some mud  : 1
mud out  : 1
can answer  : 1
that every  : 3
every word  : 3
word which  : 1
are saying  : 1
saying and  : 1
said has  : 1
taken down  : 1
paper to-morrow  : 1
to-morrow ?  : 1
window do  : 1
see there  : 1
old editor  : 2
editor ,  : 1
this old  : 5
editor is  : 1
worst ,  : 1
n't understand  : 14
understand anything  : 1
only said  : 3
tease blockhead-hans  : 1
reporters giggled  : 1
giggled ,  : 1
each dropped  : 1
dropped a  : 2
a blot  : 2
blot of  : 1
of ink  : 1
ink on  : 2
are those  : 3
those the  : 1
great people  : 2
people ?  : 6
the editor  : 2
editor the  : 1
best !  : 1
pockets inside  : 1
inside out  : 2
mud right  : 1
was neatly  : 1
neatly done  : 1
done it  : 3
soon learn  : 1
learn how  : 2
blockhead-hans became  : 1
, got  : 1
throne ;  : 1
this we  : 1
still damp  : 1
damp from  : 1
the newspaper  : 2
newspaper of  : 1
editor and  : 1
reporters --  : 1
be believed  : 1
believed for  : 2
a story  : 8
story about  : 3
darning-needle there  : 1
darning-needle who  : 1
thought herself  : 2
herself so  : 3
so fine  : 4
fine that  : 2
she believed  : 6
believed she  : 1
an embroidery-needle  : 1
embroidery-needle .  : 1
hold me  : 1
me tight  : 1
tight !  : 1
the darning-needle  : 18
darning-needle to  : 1
the fingers  : 4
fingers who  : 1
holding her  : 4
n't let  : 9
me fall  : 1
fall !  : 1
i once  : 3
once fall  : 1
ground i  : 1
found again  : 1
fine !  : 3
the waist  : 1
waist .  : 1
am coming  : 1
coming with  : 1
my train  : 1
train !  : 3
darning-needle as  : 1
long thread  : 1
thread after  : 1
no knot  : 1
knot at  : 2
fingers were  : 2
were using  : 2
the needle  : 3
needle on  : 1
cook 's  : 1
's shoe  : 1
shoe .  : 1
upper leather  : 1
leather was  : 1
was unstitched  : 1
unstitched and  : 1
be sewn  : 1
sewn together  : 1
is common  : 1
common work  : 1
work !  : 2
am breaking  : 3
breaking !  : 3
fact she  : 2
did break  : 1
break .  : 2
so !  : 2
am too  : 4
too fine  : 3
is good  : 7
good for  : 5
fingers ;  : 1
hold her  : 1
her tight  : 1
tight while  : 1
cook dropped  : 1
dropped some  : 1
some sealing-wax  : 1
sealing-wax on  : 1
needle and  : 1
a breast-pin  : 2
breast-pin !  : 1
always knew  : 3
knew i  : 7
be promoted  : 1
promoted .  : 1
become something  : 1
something !  : 2
she laughed  : 1
laughed to  : 1
see when  : 1
darning-needle is  : 1
is laughing  : 1
sat up  : 7
as proudly  : 1
proudly as  : 1
a state  : 1
state coach  : 1
` may  : 2
may i  : 6
ask if  : 2
are gold  : 1
gold ?  : 1
her neighbour  : 1
nice appearance  : 1
peculiar head  : 1
too small  : 4
small !  : 1
take pains  : 1
grow ,  : 1
not everyone  : 1
everyone who  : 1
of sealing-wax  : 1
sealing-wax .  : 1
saying the  : 3
darning-needle raised  : 1
raised herself  : 2
up so  : 2
so proudly  : 1
proudly that  : 1
the sink  : 1
sink which  : 1
cook was  : 3
was rinsing  : 1
rinsing out  : 1
my travels  : 1
travels !  : 1
do hope  : 2
hope i  : 2
t get  : 1
get lost  : 2
lost !  : 2
did indeed  : 1
indeed get  : 1
lost .  : 2
fine for  : 1
she as  : 1
always a  : 5
little satisfaction  : 1
satisfaction !  : 1
darning-needle kept  : 1
her proud  : 2
proud bearing  : 1
bearing and  : 1
lose her  : 1
her good-temper  : 1
good-temper .  : 1
of things  : 12
things swam  : 1
swam over  : 1
-- shavings  : 1
shavings ,  : 1
, bits  : 1
bits of  : 2
and scraps  : 1
scraps of  : 1
old newspapers  : 1
newspapers .  : 1
they sail  : 1
sail along  : 1
along !  : 4
is underneath  : 1
underneath them  : 1
am sticking  : 1
sticking fast  : 1
fast !  : 1
there goes  : 5
goes a  : 2
a shaving  : 1
shaving thinking  : 1
world but  : 1
of itself  : 1
mere chip  : 1
chip !  : 1
a straw  : 1
straw --  : 1
-- well  : 6
does twist  : 1
twist and  : 1
and twirl  : 1
twirl ,  : 1
about yourself  : 1
be knocked  : 1
knocked against  : 1
there floats  : 1
floats a  : 1
newspaper .  : 1
written on  : 4
ago forgotten  : 1
forgotten ,  : 3
yet how  : 1
how proud  : 2
proud it  : 1
am sitting  : 2
sitting patient  : 1
patient and  : 1
and quiet  : 4
quiet .  : 5
is enough  : 2
day something  : 1
something thick  : 1
thick lay  : 1
lay near  : 1
glittered so  : 1
brightly that  : 1
darning-needle thought  : 1
of bottle-glass  : 4
bottle-glass ,  : 1
darning-needle spoke  : 1
breast-pin .  : 1
doubt you  : 3
diamond ?  : 1
that kind  : 3
each believed  : 1
other was  : 3
was something  : 12
something very  : 2
very costly  : 1
costly ;  : 1
both said  : 1
very proud  : 5
proud the  : 1
's work-box  : 1
work-box ,  : 1
said darning-needle  : 1
darning-needle ,  : 1
a cook  : 1
cook ;  : 1
had five  : 1
five fingers  : 1
fingers on  : 1
each hand  : 2
; anything  : 1
anything so  : 4
proud as  : 3
these fingers  : 1
fingers i  : 1
yet they  : 2
were only  : 6
only there  : 1
there to  : 4
me out  : 9
the work-box  : 1
work-box and  : 1
me back  : 2
` were  : 1
were they  : 2
they of  : 1
of noble  : 2
noble birth  : 2
the bit  : 3
bottle-glass .  : 2
birth !  : 1
darning-needle ;  : 3
no indeed  : 2
but proud  : 1
proud !  : 1
were five  : 1
five brothers  : 1
all called  : 1
called ''  : 1
'' fingers  : 1
they held  : 2
held themselves  : 1
themselves proudly  : 1
proudly one  : 1
one against  : 1
although they  : 2
different sizes  : 2
outside one  : 1
was short  : 1
short and  : 2
and fat  : 1
fat ;  : 2
was outside  : 1
rank ,  : 1
one bend  : 1
bend in  : 1
only make  : 3
one bow  : 1
bow ;  : 1
longer any  : 1
any use  : 3
use as  : 1
phi dip-into-everything  : 1
dip-into-everything ,  : 1
second finger  : 1
, dipped  : 1
dipped into  : 1
into sweet  : 1
sweet things  : 1
things as  : 3
as sour  : 1
sour things  : 1
, pointed  : 1
and guided  : 1
guided the  : 1
pen when  : 1
they wrote  : 1
wrote .  : 1
phi longman  : 1
longman ,  : 1
others over  : 1
phi goldband  : 1
goldband ,  : 1
fourth ,  : 1
gold sash  : 1
sash round  : 1
his waist  : 2
waist ;  : 1
little playman  : 1
playman did  : 1
nothing at  : 7
more proud  : 1
much ostentation  : 1
ostentation ,  : 1
came away  : 3
are sitting  : 1
sitting and  : 1
and shining  : 2
shining here  : 1
moment more  : 1
more water  : 1
water came  : 2
it streamed  : 1
streamed over  : 1
the edges  : 4
edges and  : 1
bottle-glass away  : 1
been promoted  : 1
promoted !  : 1
i remain  : 1
fine .  : 2
my pride  : 2
pride ,  : 4
of respectability  : 1
respectability !  : 1
there very  : 1
very proudly  : 1
proudly ,  : 1
thinking lofty  : 1
lofty thoughts  : 1
believe i  : 4
been born  : 4
born a  : 1
a sunbeam  : 1
sunbeam ,  : 1
sunbeams were  : 1
always looking  : 2
looking under  : 1
water for  : 3
mother can  : 1
had my  : 3
old eye  : 1
eye which  : 1
which broke  : 1
could weep  : 1
weep ;  : 1
n't --  : 6
not fine  : 1
fine to  : 1
weep !  : 1
two street-urchins  : 1
street-urchins were  : 1
were playing  : 3
playing and  : 2
and wading  : 1
wading in  : 1
, picking  : 2
picking up  : 1
up old  : 4
old nails  : 1
, pennies  : 1
pennies ,  : 1
and such  : 6
rather dirty  : 1
dirty work  : 1
he pricked  : 1
pricked himself  : 1
fellow though  : 1
though !  : 1
a fellow  : 5
fellow ;  : 1
lady !  : 1
heard .  : 7
the sealing-wax  : 1
sealing-wax had  : 1
black ;  : 1
but black  : 1
black makes  : 1
makes one  : 1
one look  : 2
look very  : 4
very slim  : 2
slim ,  : 2
even finer  : 1
comes an  : 2
egg-shell sailing  : 1
sailing along  : 2
boys ,  : 3
darning-needle into  : 1
egg-shell .  : 1
walls white  : 1
i black  : 1
black --  : 1
-- what  : 15
pretty contrast  : 1
contrast it  : 1
makes !  : 1
to advantage  : 1
advantage !  : 1
not sea-sick  : 2
sea-sick !  : 1
give myself  : 1
myself up  : 2
sea-sick ,  : 1
give herself  : 1
be steeled  : 1
steeled against  : 1
against sea-sickness  : 1
sea-sickness ;  : 1
here one  : 2
has indeed  : 1
indeed an  : 1
an advantage  : 3
advantage over  : 1
over man  : 1
now my  : 1
my qualms  : 1
qualms are  : 1
are over  : 1
the finer  : 1
finer one  : 1
more one  : 1
can beat  : 1
beat .  : 1
` crack  : 1
egg-shell as  : 1
a wagon-wheel  : 1
wagon-wheel went  : 1
it presses  : 1
presses !  : 1
shall indeed  : 1
be sea-sick  : 1
sea-sick now  : 1
phi chapter  : 11
chapter i.  : 1
i. down  : 1
the rabbit-hole  : 2
rabbit-hole alice  : 1
alice was  : 17
get very  : 1
very tired  : 7
of sitting  : 2
her sister  : 8
sister on  : 1
having nothing  : 1
do :  : 2
: once  : 1
once or  : 10
or twice  : 9
twice she  : 1
had peeped  : 1
book her  : 1
sister was  : 2
was reading  : 3
reading ,  : 1
no pictures  : 1
pictures or  : 2
or conversations  : 1
conversations in  : 1
thought alice  : 26
alice `  : 1
` without  : 1
without pictures  : 1
or conversation  : 1
conversation ?  : 1
was considering  : 1
considering in  : 1
own mind  : 3
mind -lrb-  : 1
-lrb- as  : 4
the hot  : 5
hot day  : 1
day made  : 1
her feel  : 2
feel very  : 3
very sleepy  : 2
sleepy and  : 2
and stupid  : 2
stupid -rrb-  : 1
of making  : 8
a daisy-chain  : 1
daisy-chain would  : 1
trouble of  : 2
getting up  : 4
and picking  : 1
picking the  : 2
the daisies  : 1
daisies ,  : 1
white rabbit  : 22
rabbit with  : 2
with pink  : 1
pink eyes  : 1
eyes ran  : 1
nothing so  : 3
very remarkable  : 1
remarkable in  : 1
did alice  : 1
alice think  : 1
much out  : 1
the rabbit  : 22
rabbit say  : 2
oh dear  : 8
be late  : 1
late !  : 1
-lrb- when  : 2
over afterwards  : 1
she ought  : 4
have wondered  : 2
wondered at  : 2
time it  : 5
seemed quite  : 3
quite natural  : 2
natural -rrb-  : 1
-rrb- ;  : 2
rabbit actually  : 1
actually took  : 1
a watch  : 3
watch out  : 5
its waistcoat-pocket  : 1
waistcoat-pocket ,  : 2
then hurried  : 1
, alice  : 11
alice started  : 1
across her  : 3
before seen  : 2
a rabbit  : 2
with either  : 1
either a  : 1
a waistcoat-pocket  : 1
watch to  : 2
and burning  : 1
burning with  : 1
with curiosity  : 3
ran across  : 3
field after  : 1
and fortunately  : 1
fortunately was  : 1
just in  : 7
it pop  : 1
pop down  : 2
large rabbit-hole  : 1
rabbit-hole under  : 1
the hedge  : 3
hedge .  : 1
moment down  : 1
down went  : 1
went alice  : 2
alice after  : 1
never once  : 3
once considering  : 1
considering how  : 1
world she  : 2
rabbit-hole went  : 1
on like  : 1
a tunnel  : 3
tunnel for  : 1
then dipped  : 1
dipped suddenly  : 1
suddenly down  : 1
suddenly that  : 1
that alice  : 5
alice had  : 11
about stopping  : 1
stopping herself  : 1
herself before  : 1
herself falling  : 1
deep well  : 1
phi either  : 2
either the  : 2
well was  : 1
or she  : 8
fell very  : 1
very slowly  : 5
had plenty  : 3
time as  : 3
look about  : 1
to wonder  : 3
wonder what  : 14
to happen  : 5
happen next  : 3
look down  : 4
too dark  : 2
dark to  : 3
see anything  : 9
the sides  : 7
sides of  : 8
and noticed  : 1
with cupboards  : 1
cupboards and  : 1
and book-shelves  : 1
book-shelves ;  : 1
saw maps  : 1
maps and  : 1
and pictures  : 1
pictures hung  : 1
hung upon  : 1
upon pegs  : 1
pegs .  : 1
took down  : 1
a jar  : 1
jar from  : 1
the shelves  : 1
shelves as  : 1
was labelled  : 1
labelled `  : 1
` orange  : 1
orange marmalade  : 1
marmalade '  : 1
' ,  : 5
disappointment it  : 1
empty :  : 1
to drop  : 2
drop the  : 1
the jar  : 2
jar for  : 1
killing somebody  : 1
somebody ,  : 2
so managed  : 1
the cupboards  : 1
cupboards as  : 1
fell past  : 1
past it  : 4
alice to  : 7
after such  : 1
a fall  : 4
fall as  : 1
think nothing  : 1
of tumbling  : 1
tumbling down  : 1
stairs !  : 2
brave they  : 1
they 'll  : 12
'll all  : 1
all think  : 1
very likely  : 5
likely true  : 1
. -rrb-  : 23
phi down  : 11
would the  : 2
the fall  : 5
fall never  : 1
end !  : 2
i wonder  : 17
wonder how  : 1
miles i  : 1
've fallen  : 1
fallen by  : 1
time ?  : 4
aloud .  : 6
be getting  : 3
getting somewhere  : 1
somewhere near  : 3
see :  : 3
: that  : 2
be four  : 1
four thousand  : 1
thousand miles  : 2
miles down  : 1
think --  : 4
' -lrb-  : 7
learnt several  : 1
several things  : 1
sort in  : 1
her lessons  : 1
lessons in  : 2
the schoolroom  : 3
schoolroom ,  : 1
though this  : 2
good opportunity  : 3
opportunity for  : 4
for showing  : 1
showing off  : 2
her knowledge  : 3
still it  : 3
was good  : 13
good practice  : 1
practice to  : 1
over -rrb-  : 1
-rrb- '  : 6
's about  : 3
right distance  : 1
distance --  : 1
what latitude  : 2
latitude or  : 1
or longitude  : 2
longitude i  : 1
-lrb- alice  : 4
idea what  : 4
latitude was  : 1
longitude either  : 1
but thought  : 2
were nice  : 1
nice grand  : 1
grand words  : 1
wonder if  : 4
fall right  : 1
earth !  : 1
how funny  : 2
funny it  : 2
it 'll  : 10
'll seem  : 2
out among  : 4
people that  : 3
that walk  : 2
walk with  : 1
heads downward  : 1
downward !  : 1
the antipathies  : 1
antipathies ,  : 1
-lrb- she  : 12
rather glad  : 1
glad there  : 1
one listening  : 1
listening ,  : 3
n't sound  : 1
sound at  : 1
right word  : 1
word -rrb-  : 1
ask them  : 1
them what  : 2
country is  : 1
phi please  : 4
please ,  : 9
, ma'am  : 16
ma'am ,  : 7
new zealand  : 1
zealand or  : 1
or australia  : 1
australia ?  : 1
-lrb- and  : 5
to curtsey  : 1
curtsey as  : 1
spoke --  : 1
-- fancy  : 1
fancy curtseying  : 1
curtseying as  : 1
're falling  : 1
falling through  : 1
? -rrb-  : 1
an ignorant  : 1
ignorant little  : 1
girl she  : 1
she 'll  : 15
'll think  : 1
for asking  : 2
asking !  : 1
'll never  : 12
never do  : 6
ask :  : 1
: perhaps  : 1
it written  : 2
written up  : 1
up somewhere  : 1
so alice  : 5
alice soon  : 2
soon began  : 1
began talking  : 3
talking again  : 1
` dinah  : 2
dinah 'll  : 2
'll miss  : 1
miss me  : 2
much to-night  : 1
should think  : 7
-lrb- dinah  : 1
dinah was  : 1
hope they  : 1
'll remember  : 2
remember her  : 1
her saucer  : 1
saucer of  : 1
milk at  : 1
at tea-time  : 1
tea-time .  : 1
phi dinah  : 1
dinah my  : 1
were down  : 1
down here  : 8
are no  : 6
no mice  : 1
'm afraid  : 12
might catch  : 1
catch a  : 2
a bat  : 3
bat ,  : 3
's very  : 10
very like  : 5
do cats  : 3
cats eat  : 3
eat bats  : 3
bats ,  : 1
wonder ?  : 4
here alice  : 1
alice began  : 7
get rather  : 1
rather sleepy  : 1
sleepy ,  : 4
on saying  : 1
a dreamy  : 1
dreamy sort  : 1
of way  : 2
bats ?  : 2
and sometimes  : 6
sometimes ,  : 2
do bats  : 1
bats eat  : 1
eat cats  : 1
cats ?  : 1
n't answer  : 1
answer either  : 1
either question  : 1
n't much  : 6
much matter  : 1
matter which  : 2
way she  : 1
was dozing  : 1
dozing off  : 1
to dream  : 2
dream that  : 1
walking hand  : 1
hand with  : 1
with dinah  : 1
dinah ,  : 3
very earnestly  : 3
earnestly ,  : 1
, dinah  : 1
truth :  : 1
: did  : 1
ever eat  : 1
bat ?  : 1
, thump  : 1
thump !  : 2
phi thump  : 1
down she  : 1
sticks and  : 3
and dry  : 4
dry leaves  : 2
fall was  : 2
phi alice  : 82
bit hurt  : 1
hurt ,  : 1
feet in  : 5
moment :  : 1
all dark  : 1
dark overhead  : 1
overhead ;  : 1
; before  : 1
another long  : 1
rabbit was  : 3
hurrying down  : 2
be lost  : 2
lost :  : 1
: away  : 1
away went  : 2
alice like  : 1
it say  : 2
oh my  : 3
and whiskers  : 2
whiskers ,  : 3
how late  : 1
late it  : 1
's getting  : 3
getting !  : 1
turned the  : 5
seen :  : 1
, low  : 2
low hall  : 1
was lit  : 1
a row  : 5
row of  : 2
of lamps  : 1
lamps hanging  : 1
were doors  : 1
doors all  : 1
all locked  : 1
locked ;  : 1
when alice  : 1
down one  : 3
side and  : 11
, trying  : 10
trying every  : 1
walked sadly  : 1
sadly down  : 1
middle ,  : 3
little three-legged  : 1
three-legged table  : 1
of solid  : 1
solid glass  : 1
tiny golden  : 1
key ,  : 3
and alice  : 18
alice 's  : 11
's first  : 3
first thought  : 1
thought was  : 2
might belong  : 1
locks were  : 1
too large  : 1
the key  : 8
key was  : 2
any rate  : 10
rate it  : 1
open any  : 1
time round  : 1
low curtain  : 1
curtain she  : 1
not noticed  : 1
noticed before  : 1
little door  : 6
door about  : 1
about fifteen  : 1
fifteen inches  : 1
inches high  : 4
high :  : 3
tried the  : 3
little golden  : 5
key in  : 1
the lock  : 3
lock ,  : 1
delight it  : 1
it fitted  : 1
fitted !  : 1
alice opened  : 1
it led  : 1
led into  : 2
small passage  : 1
a rat-hole  : 1
rat-hole :  : 1
she knelt  : 1
looked along  : 1
loveliest garden  : 1
garden you  : 1
that dark  : 1
dark hall  : 3
among those  : 3
those beds  : 1
beds of  : 1
of bright  : 1
bright flowers  : 1
those cool  : 1
cool fountains  : 2
even get  : 1
head through  : 1
head would  : 2
thought poor  : 3
poor alice  : 11
alice ,  : 78
of very  : 5
little use  : 2
use without  : 1
my shoulders  : 2
could shut  : 1
a telescope  : 2
telescope !  : 1
only know  : 1
many out-of-the-way  : 1
out-of-the-way things  : 2
happened lately  : 1
lately ,  : 1
had begun  : 2
few things  : 1
things indeed  : 1
indeed were  : 1
were really  : 4
really impossible  : 1
in waiting  : 1
waiting by  : 1
half hoping  : 3
hoping she  : 1
find another  : 1
another key  : 1
key on  : 1
rate a  : 1
of rules  : 1
rules for  : 1
shutting people  : 1
people up  : 1
like telescopes  : 1
telescopes :  : 1
: this  : 3
little bottle  : 2
-lrb- `  : 3
which certainly  : 1
certainly was  : 3
said alice  : 115
, -rrb-  : 9
the neck  : 6
neck of  : 2
bottle was  : 2
a paper  : 1
paper label  : 1
label ,  : 1
the words  : 20
words `  : 3
drink me  : 3
me '  : 2
' beautifully  : 1
beautifully printed  : 1
printed on  : 1
in large  : 2
large letters  : 1
letters .  : 1
wise little  : 2
little alice  : 3
hurry .  : 11
'll look  : 2
look first  : 1
see whether  : 2
's marked  : 1
marked ``  : 1
`` poison  : 1
poison ''  : 1
'' or  : 3
not '  : 1
read several  : 1
several nice  : 1
little histories  : 1
histories about  : 1
about children  : 1
got burnt  : 1
burnt ,  : 1
and eaten  : 2
by wild  : 1
beasts and  : 2
other unpleasant  : 1
unpleasant things  : 2
all because  : 2
not remember  : 5
remember the  : 4
the simple  : 6
simple rules  : 1
rules their  : 1
their friends  : 2
friends had  : 1
taught them  : 2
them :  : 1
: such  : 1
red-hot poker  : 1
poker will  : 1
will burn  : 1
burn you  : 1
you hold  : 3
hold it  : 3
it too  : 7
too long  : 5
long ;  : 1
you cut  : 2
cut your  : 1
your finger  : 2
finger very  : 1
very deeply  : 2
deeply with  : 1
it usually  : 1
usually bleeds  : 1
bleeds ;  : 1
never forgotten  : 1
forgotten that  : 3
drink much  : 1
bottle marked  : 1
marked `  : 2
` poison  : 2
poison ,  : 2
' it  : 2
is almost  : 4
almost certain  : 1
to disagree  : 1
disagree with  : 1
, sooner  : 2
later .  : 3
not marked  : 1
' so  : 2
alice ventured  : 4
and finding  : 2
-lrb- it  : 8
of mixed  : 1
mixed flavour  : 1
flavour of  : 2
of cherry-tart  : 1
cherry-tart ,  : 1
, custard  : 1
custard ,  : 1
, pine-apple  : 1
